ID,Link,Get link share
22,https://www.facebook.com/nnhungle/videos/2522631537781291,https://www.facebook.com/permalink.php?story_fbid=676266079485780&id=100013071827787
22,https://www.facebook.com/nnhungle/videos/2522631537781291,https://www.facebook.com/permalink.php?story_fbid=674425496337550&id=100013103165674
22,https://www.facebook.com/nnhungle/videos/2522631537781291,https://www.facebook.com/permalink.php?story_fbid=852321848477972&id=100011004937801
22,https://www.facebook.com/nnhungle/videos/2522631537781291,https://www.facebook.com/permalink.php?story_fbid=808549299525257&id=100011105826432
22,https://www.facebook.com/nnhungle/videos/2522631537781291,https://www.facebook.com/permalink.php?story_fbid=697439424020564&id=100012635389251
22,https://www.facebook.com/nnhungle/videos/2522631537781291,https://www.facebook.com/tai.nguyenphuc.58/posts/849263858785823
22,https://www.facebook.com/nnhungle/videos/2522631537781291,https://www.facebook.com/permalink.php?story_fbid=808013496247122&id=100011154363556
22,https://www.facebook.com/nnhungle/videos/2522631537781291,https://www.facebook.com/van.nguyenthithuy.7731/posts/850543308654739
22,https://www.facebook.com/nnhungle/videos/2522631537781291,https://www.facebook.com/phong.dohong.79/posts/682234355560093
22,https://www.facebook.com/nnhungle/videos/2522631537781291,https://www.facebook.com/nguyenthiensh/posts/698829347236668
22,https://www.facebook.com/nnhungle/videos/2522631537781291,https://www.facebook.com/tam.vovan.9404362/posts/655586491557933
22,https://www.facebook.com/nnhungle/videos/2522631537781291,https://www.facebook.com/nguyenduykhanhshoa/posts/702452716878895
22,https://www.facebook.com/nnhungle/videos/2522631537781291,https://www.facebook.com/thien.voduy.14/posts/662151307565245
22,https://www.facebook.com/nnhungle/videos/2522631537781291,https://www.facebook.com/permalink.php?story_fbid=682882812173761&id=100013561453714
22,https://www.facebook.com/nnhungle/videos/2522631537781291,https://www.facebook.com/permalink.php?story_fbid=833670217001852&id=100010766434297
22,https://www.facebook.com/nnhungle/videos/2522631537781291,https://www.facebook.com/micky.nguyen.3323/posts/898681053797272
22,https://www.facebook.com/nnhungle/videos/2522631537781291,https://www.facebook.com/permalink.php?story_fbid=841551336219226&id=100010931025748
22,https://www.facebook.com/nnhungle/videos/2522631537781291,https://www.facebook.com/permalink.php?story_fbid=669766700132423&id=100012972971102
22,https://www.facebook.com/nnhungle/videos/2522631537781291,https://www.facebook.com/permalink.php?story_fbid=810211376027390&id=100011156053075
22,https://www.facebook.com/nnhungle/videos/2522631537781291,https://www.facebook.com/permalink.php?story_fbid=833221450378420&id=100010717179608
